card_id,review_time,review_rating,review_state,review_duration,tag
0,1742648131944,2,0,3283,#flashcards
1,1742648135122,4,0,1635,#flashcards
3,1742648255760,2,0,24835,#flashcards
2,1742648257995,2,0,1199,#flashcards
5,1743932989459,4,0,2418,#flashcards
6,1743932992886,4,0,2104,#flashcards
7,1745133014400,3,0,2096,#flashcards
7,1745143086616,3,1,811,#flashcards
10,1745143355146,3,0,4959,#review
5,1745384513895,3,2,130,#flashcards
6,1745384549081,3,2,3448,#flashcards
7,1745680484309,3,2,5817,#flashcards
13,1745680583910,3,0,1249,#flashcards
14,1745680620621,3,0,1467,#flashcards
15,1745680649315,3,0,1101,#flashcards
18,1745889082200,3,0,2365,#flashcards
0,1745889094148,3,1,3500,default
1,1745889097380,3,2,2192,default
19,1745889154539,3,0,2540,#flashcards
2,1746626475052,4,1,2180,default
0,1746626476130,4,2,476,default
18,1746626480645,4,1,447,#hotkey
19,1746626481560,4,1,394,#hotkey
2,1749033269188,4,2,2755,default
7,1749033272515,4,2,933,#flashcards
19,1749033277292,4,2,2927,#hotkey
18,1749033278789,4,2,783,#hotkey
23,1749046177215,4,0,3796,#算法
25,1749099942459,3,0,4386,#算法
24,1749099943866,3,0,540,#算法
24,1749100825954,3,1,1023,#算法
25,1749100826953,3,1,406,#算法
26,1749108332272,4,0,2539,#算法
0,1751200741019,4,2,4124,default
25,1751871856802,4,2,1106,#算法
23,1751871859648,2,2,2085,#算法
26,1751871861025,2,2,552,#算法
27,1751871862139,2,0,565,#算法
